uniqueID,type,title,location,captions
ep131,national,Get a Groove Back in Charlotte,NC,https://www.youtube.com/api/timedtext?v=7KZ9CThrUKU&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939528&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=AC5237C2C114A1A56DCAA5561F55F67116226F46.6CF29AC214C64B4FF295977471F97B0C949F3242&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep132,national,Before the Ring in Philly,PA,https://www.youtube.com/api/timedtext?v=0qYavadAmOI&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939549&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=B883B948B2E3B3C85C834C23E2307832E3F3F5F3.691D698DF07ED730CB5ACB05AF62348EBAD71133&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep133,national,Mother vs. Mother in DC,DC,https://www.youtube.com/api/timedtext?v=2YAX8hz-il8&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=4&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939575&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=1FF6D717BD1476AF7ADAE697BA33B4E1FD1AA67B.6B14EDA7FF6B84807F230624E50B583784A4A195&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep134,national,Best Friends Forever in Miami,FL,https://www.youtube.com/api/timedtext?v=hnZc2eBEVT0&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=4&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940565&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=A6D5A524813D4B34FD0D93FB50E4DE49F5787FD0.65E07ED834868E5420602AEF68AD73A98CC9CB36&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep135,national,Visions of Grandeur in Kansas,KS,https://www.youtube.com/api/timedtext?v=hpbshSAjEss&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940603&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=B237BDA50FADC8A974BD42D74499994FFE2C96B4.35DA158F3D88294121734966D1A5AF4F1A7AC099&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep136,national,Opposites Attract in DC Area,DC,https://www.youtube.com/api/timedtext?v=kah8tluV2hQ&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940642&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=03FF5FA3CE24BA1CD29EA4982A5F4EE7229C79E2.7AF2A9E181CAE6C351D673A8793C4F11AE531CEC&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep137,national,Picky in San Diego,CA,https://www.youtube.com/api/timedtext?v=frfifBhG2Zg&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940658&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=46C098DE541AAFF9F495E9D63F298190BF8D76FE.5FEBBBD34EC28BAF60968D1C6EE465E6586B8FE4&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep138,national,Declaring Independence in DC,DC,https://www.youtube.com/api/timedtext?v=6_7fp7hC86I&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940678&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=34DF1900990F14FCACCF0ADF211C85F53F19F4F0.7398514C6E7A9493A08F223A8419E527E074647F&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep139,national,Pro and a Novice in Charlotte,NC,https://www.youtube.com/api/timedtext?v=z1OSy_iD7po&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940698&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=0B1AC49BB397D1C114998D0A28F438DDC5895298.E46311C23B2077B560B78CC04CE114FDE764DC54&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep140,national,No Open Concept in Illinois,IL,https://www.youtube.com/api/timedtext?v=81rAaZGtxjM&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629940720&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=59C61B53636FC910BFD6DB150D0EF2DA313D0A8A.4A72E27D9D60D4B0B9450663652DC67F79F0F223&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
