uniqueID,type,date,title,location,captions
ep013,national,10/11/17,Fresh Start for Six in Salisbury,CT,https://www.youtube.com/api/timedtext?signature=336D3A4C7B5628E48522B2C2A743CF733AD18978.82B4AAE0AAC2C7022752DA0290385D72024F69A4&key=yttt1&xorp=True&asr_langs=ru%2Cde%2Cit%2Cja%2Cnl%2Cen%2Cfr%2Ces%2Cko%2Cpt&caps=asr&expire=1521510941&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&v=YgiFI_aIdAc&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep014,national,10/9/17,California Family Seeks Home With Mom's Diva Den,CA,https://www.youtube.com/api/timedtext?xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=ru%2Ces%2Cpt%2Cnl%2Cit%2Cko%2Cde%2Cfr%2Cja%2Cen&signature=0BB19EAFABEB03664FBEBAAF3B7F3516429381BF.3CA96B8ECB2C3461032624348749AA47E2A38B4E&expire=1521510991&key=yttt1&caps=asr&v=u5jcGlLBI8I&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep015,international,11/24/17,From Minnesota to East Africa,KA,https://www.youtube.com/api/timedtext?expire=1521511042&caps=asr&hl=en_GB&v=AXSOA2Kr5S8&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=es%2Cru%2Cko%2Cit%2Cde%2Cpt%2Cfr%2Cen%2Cja%2Cnl&xorp=True&signature=210E1E4F43F136A23AA434E5F2756D1336E03AD9.D6CA0DB6EBD554B2E687B0A0EF981D789D3419D4&key=yttt1&kind=asr&lang=en&fmt=srv3
ep016,national,10/17/17,Sticker Shock in Chicago,IL,https://www.youtube.com/api/timedtext?hl=en_GB&v=U6alW9H0uPw&key=yttt1&expire=1521512396&caps=asr&asr_langs=ja%2Ces%2Cit%2Cko%2Cde%2Cnl%2Cpt%2Cru%2Cen%2Cfr&xorp=True&signature=EBEFEDB38DA506B696DBBE3B8C4A42AAC28AFD84.67398ED34CD386DA07378BE448BAFAA024125ACC&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep017,national,11/17/17,A Diva Wants What She Wants,TX,https://www.youtube.com/api/timedtext?sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&v=sdlsg9sPcl8&xorp=True&expire=1521512464&caps=asr&key=yttt1&asr_langs=es%2Cit%2Cpt%2Cfr%2Cde%2Cko%2Cru%2Cen%2Cnl%2Cja&hl=en_GB&signature=7419C50653FD92B26473B6BA3A7E0DA91DC8B8EE.E49ECA05F5ED42270D58C4121E97D3B34AC8934B&kind=asr&lang=en&fmt=srv3
ep018,international,10/11/17,Returning to a Childhood Home,IR,https://www.youtube.com/api/timedtext?v=0Uz6ZwGhWDA&asr_langs=fr%2Cen%2Cja%2Cko%2Cde%2Cpt%2Cnl%2Cit%2Cru%2Ces&key=yttt1&xorp=True&hl=en_GB&caps=asr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&signature=091BDFEBC44EE7810456B15F2CA9E0005622D85C.E2C4030CC9F69E1470EE84B7B3F9517D49EC0B9C&expire=1521512506&kind=asr&lang=en&fmt=srv3
ep019,national,11/23/17,Is Bigger Better in Texas ,TX,https://www.youtube.com/api/timedtext?caps=asr&asr_langs=fr%2Cru%2Ces%2Cit%2Cnl%2Cde%2Cko%2Cen%2Cpt%2Cja&hl=en_GB&expire=1521512612&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&key=yttt1&v=Ez64EBFpmkI&xorp=True&signature=0A015B75DED62DFA738F4951FAB869F00B638938.55B19A8A31A2573A1502ED47FDCAC6DB58B0152C&kind=asr&lang=en&fmt=srv3
ep020,national,11/2/17,Seeking a Home in Sioux Falls,SD,https://www.youtube.com/api/timedtext?key=yttt1&v=WaiAozF6PvA&expire=1521512652&hl=en_GB&signature=8DD7F2D04F2A139B25C2466903805DDEDE109D18.0395B83907B886AD6E487291841A1C630DA1025B&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&caps=asr&asr_langs=ja%2Ces%2Cnl%2Cpt%2Cru%2Cfr%2Cen%2Cko%2Cit%2Cde&kind=asr&lang=en&fmt=srv3
ep021,national,8/20/17,Starting on Long Island,NY,https://www.youtube.com/api/timedtext?hl=en_GB&v=3Z2ZgcMvZgw&signature=6F34D88C9FD391623D5792D304228D31586DEC17.2FC71EE13127DB40E7717803E5624CC1D3E7CAA4&key=yttt1&expire=1521595850&asr_langs=de%2Cko%2Cit%2Cen%2Cja%2Cfr%2Cpt%2Ces%2Cru%2Cnl&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&caps=asr&kind=asr&lang=en&fmt=srv3
ep022,national,11/10/17,Deploying to Clarksville,TN,https://www.youtube.com/api/timedtext?xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&hl=en_GB&asr_langs=ru%2Cfr%2Cen%2Cnl%2Cpt%2Cde%2Cko%2Cit%2Cja%2Ces&signature=D35CF541C7F46EECD204A05E1027B95D415F3A70.68013E4E2784B516CF753077578B9AF9A792C68E&caps=asr&expire=1521595917&key=yttt1&v=giUn5sN3XE0&kind=asr&lang=en&fmt=srv3
ep023,national,10/5/17,Vintage Condo vs. Modern Loft in Chicago,IL,https://www.youtube.com/api/timedtext?key=yttt1&signature=A2B496E339B26C8DADFE00B3C6A783B6C9D6F4C5.8AE07177C0038E923CE62A7EDCC7F08A2FEB75D2&asr_langs=en%2Cnl%2Cja%2Cfr%2Cde%2Cit%2Cko%2Cpt%2Cru%2Ces&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&hl=en_GB&v=vfMgEj4UjFc&caps=asr&expire=1521595987&kind=asr&lang=en&fmt=srv3
ep024,international,11/15/17,"Something's Brewing in Chania, Greece",GR,https://www.youtube.com/api/timedtext?asr_langs=es%2Cit%2Cpt%2Cnl%2Cfr%2Cru%2Cko%2Cja%2Cde%2Cen&key=yttt1&v=pkMtVYRJ-ns&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&caps=asr&hl=en_GB&signature=EEAD3853748C093F9827BD8E591017CEC9D7577E.99905705BAF173D4E6E115D022392B0E7F3E87CB&expire=1521596047&kind=asr&lang=en&fmt=srv3
ep025,national,11/15/17,Victorian vs Modern in Pittsburgh,PA,https://www.youtube.com/api/timedtext?hl=en_GB&xorp=True&v=AsYmilGl2EM&asr_langs=de%2Cja%2Cen%2Cko%2Cru%2Cfr%2Cnl%2Cpt%2Cit%2Ces&expire=1521596107&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&caps=asr&key=yttt1&signature=B9E8C4D3A7A9F2BD1B7F7C6C66A36B4238BACBE7.AA700256D5D15BD3BB1180DB161A54B5A5C47CEB&kind=asr&lang=en&fmt=srv3
ep026,international,11/17/17,Money's Worth in Perth,AU,https://www.youtube.com/api/timedtext?caps=asr&hl=en_GB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521596158&xorp=True&key=yttt1&signature=C14E1A5B0D0BF6B7284E042ED69B8DAEB9E21E37.6A1E4DB6F28137CD8905E239777901A54AF1331D&v=mb_4Yqcg-pA&asr_langs=nl%2Cpt%2Cru%2Ces%2Cja%2Cen%2Cfr%2Cko%2Cde%2Cit&kind=asr&lang=en&fmt=srv3
ep027,national,10/24/17,Beachy Bachelor Pad in California,CA,https://www.youtube.com/api/timedtext?v=p43GBbN1wgs&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521596204&signature=3D2DB882326E66BA7B6705199871C7B926B9C7E0.7BB635AF018D50C456EB01D5C1D36E9B2B44FAFB&xorp=True&key=yttt1&caps=asr&hl=en_GB&asr_langs=ko%2Cit%2Cde%2Cja%2Cen%2Ces%2Cnl%2Cfr%2Cru%2Cpt&kind=asr&lang=en&fmt=srv3
ep028,national,10/20/17,Size vs Style in DC,DC,https://www.youtube.com/api/timedtext?key=yttt1&signature=1083A22ED0B557846034473A898BFEE71EADEBFF.A29E290D4C7B0698FC57F3DA72ECB107E131E3CB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&caps=asr&expire=1521596248&asr_langs=es%2Cit%2Cpt%2Cnl%2Cfr%2Cko%2Cru%2Cen%2Cja%2Cde&v=qmUW-I7O9RE&xorp=True&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep029,national,10/20/17,Looking in Lancaster,PA,https://www.youtube.com/api/timedtext?expire=1521596294&hl=en_GB&signature=E4608AADC3F2BBACAB856AF9CA092E6879043AD4.0BB1EF7C7FD33D7FCDFF6E3D5EAE01F5A356B278&caps=asr&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&key=yttt1&v=vgUtALl1ZZM&asr_langs=en%2Cde%2Cko%2Cja%2Cru%2Cfr%2Cnl%2Cpt%2Cit%2Ces&kind=asr&lang=en&fmt=srv3
ep030,national,10/10/17,Always Room for Improvement,AZ,https://www.youtube.com/api/timedtext?signature=95177A280193BC989A79231DAC2B2CCCC7B9D0AE.01CCE9DD85467B48EE668FD636A6A0F2874CC37C&hl=en_GB&asr_langs=ja%2Cko%2Cru%2Cen%2Cpt%2Cde%2Cfr%2Cnl%2Ces%2Cit&expire=1521596341&v=I5Hxt1BLsmo&caps=asr&key=yttt1&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep031,national,10/2/17,Going Big in Buffalo,NY,https://www.youtube.com/api/timedtext?hl=en_GB&caps=asr&expire=1521615730&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&asr_langs=pt%2Cnl%2Ces%2Cru%2Cfr%2Cen%2Cja%2Cit%2Cde%2Cko&v=1vAqkPyWmi8&signature=1A3BAC959C5CD7C397015426CC9D901CA6CA4F6A.E18D55C77E74A265DB6C12F8A3E3E00B5E78A1DD&key=yttt1&kind=asr&lang=en&fmt=srv3
ep032,national,11/8/17,Newlyweds Seek Home in North Virginia Suburbs,VA,https://www.youtube.com/api/timedtext?sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&hl=en_GB&v=4Ea0JrAzcl0&caps=asr&expire=1521615788&key=yttt1&signature=5BB0B0EF879DE618E103E94FBD799CD0D36CD21C.0CA13D505D6E174B10B78A93E7AF14FAE003086B&asr_langs=ko%2Ces%2Cen%2Cnl%2Cja%2Cfr%2Cde%2Cru%2Cpt%2Cit&xorp=True&kind=asr&lang=en&fmt=srv3
ep033,national,11/3/17,Waterfront Living in Florida,FL,https://www.youtube.com/api/timedtext?hl=en_GB&signature=08B01DB91BF75C4B729748C3434BD9538B18B98F.D70E28FEADEE2687742FA9C1E342FA91B1415BE5&key=yttt1&caps=asr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521615822&asr_langs=ru%2Cko%2Cen%2Cja%2Cde%2Ces%2Cit%2Cpt%2Cnl%2Cfr&v=ghmmc7bu-UA&xorp=True&kind=asr&lang=en&fmt=srv3
ep034,national,11/6/17,Going Bigger in Buffalo,NY,https://www.youtube.com/api/timedtext?sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&v=qIV6zGKT8MQ&hl=en_GB&caps=asr&expire=1521615852&signature=0C015571F4E1567AB2667A8DC32CE8021CE4E175.CDDB3CDC06E4EB838C9AAD2714157D38A1C622D2&key=yttt1&xorp=True&asr_langs=ko%2Cru%2Cpt%2Ces%2Cja%2Cnl%2Cen%2Cfr%2Cde%2Cit&kind=asr&lang=en&fmt=srv3
ep035,national,10/12/17,Father Knows Best in Austin,TX,https://www.youtube.com/api/timedtext?xorp=True&asr_langs=it%2Cde%2Cru%2Cfr%2Cnl%2Cja%2Cen%2Ces%2Cko%2Cpt&key=yttt1&signature=03A9429CCF3AF61693BE5A110305109FF0127D04.E5DF30D84770537392702DD49FEA57E059B841AC&expire=1521615888&caps=asr&v=H5rJnNyrWZU&hl=en_GB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep036,international,11/13/17,Jumping to Johannesburg,SA,https://www.youtube.com/api/timedtext?asr_langs=fr%2Cru%2Ces%2Cit%2Cnl%2Cen%2Cpt%2Cja%2Cde%2Cko&v=aRioB8CQ0uk&caps=asr&xorp=True&hl=en_GB&expire=1521615927&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&signature=58B574E733699E72872E93C246A569448005EA31.E4AB1628136D044AB8FAB673AA9C094DC092D074&key=yttt1&kind=asr&lang=en&fmt=srv3
ep037,national,8/8/17,Beach vs Boat Dock in Florida,FL,https://www.youtube.com/api/timedtext?xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521615971&asr_langs=en%2Cpt%2Cde%2Cit%2Cru%2Cko%2Ces%2Cja%2Cnl%2Cfr&hl=en_GB&v=7brCtz7iJ9k&signature=6DA2C08BAE5690F876431E50F905946CB2B80B4E.0B3B02037FDF1C600800C63454C590423E70634E&key=yttt1&caps=asr&kind=asr&lang=en&fmt=srv3
ep038,national,10/16/17,Growing a Family in Tampa,FL,https://www.youtube.com/api/timedtext?v=pH4Ft2paagM&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=ru%2Ces%2Cfr%2Cit%2Cko%2Cde%2Cen%2Cpt%2Cja%2Cnl&key=yttt1&signature=D9C9B381F25A5B90F5777F107C0D5B3CADFDF571.035CFF6D02EFC758814D207AD7349F5D4C5D087B&expire=1521616006&caps=asr&hl=en_GB&xorp=True&kind=asr&lang=en&fmt=srv3
ep039,national,11/9/17,Oregon,OR,https://www.youtube.com/api/timedtext?key=yttt1&caps=asr&asr_langs=ru%2Cfr%2Cnl%2Ces%2Cpt%2Cde%2Cko%2Cit%2Cen%2Cja&signature=E405A055CF8271C068F45389076477D046D12DED.78652F80E5C2184830E0EA99B22F47195E9385C2&hl=en_GB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521616040&v=Crb1DIE3XeA&xorp=True&kind=asr&lang=en&fmt=srv3
ep040,national,11/24/17,Old vs New in Salt Lake City,UT,https://www.youtube.com/api/timedtext?xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=nl%2Cru%2Ces%2Cpt%2Cfr%2Cja%2Cen%2Cit%2Cko%2Cde&expire=1521616095&key=yttt1&signature=0C3372A8FF13A034A9F85509DB042FC6E70333D8.4374557562EA95923B80BDFC5FDA72198978EA14&v=8LUBdRmx8fg&caps=asr&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep041,national,11/1/17,Eccentrics in Ohio,OH,https://www.youtube.com/api/timedtext?v=aU37G8_9wfU&signature=C46DFFAA8572ECC611E708A406BF4C1A62A654D7.310F5C685CBA8A02BDB9606AC2A8E18F82CB63D2&asr_langs=nl%2Cit%2Ces%2Cru%2Cfr%2Cko%2Cde%2Cja%2Cpt%2Cen&xorp=True&key=yttt1&caps=asr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521682865&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep042,national,11/14/17,Second Chance in Tampa,FL,https://www.youtube.com/api/timedtext?expire=1521682914&key=yttt1&v=Xk-2NdSl1KE&asr_langs=ja%2Ces%2Cde%2Cko%2Cit%2Cru%2Cfr%2Cen%2Cnl%2Cpt&hl=en_GB&caps=asr&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&signature=DA39564B8FC5E3831BA2716A9B63FFEFBC89DA2A.493F5584892585F34FC7FF68882C2B5ECB88FA74&kind=asr&lang=en&fmt=srv3
ep043,international,11/14/17,Slowing Down in Tuscany,IT,https://www.youtube.com/api/timedtext?xorp=True&expire=1521682949&hl=en_GB&signature=AC5351F698372F1785272CFB8D1AFFA73ECC960D.4AD5753C096DEEC383006D7C2E735AD0001127DB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=ru%2Cde%2Cen%2Cko%2Cja%2Ces%2Cpt%2Cit%2Cfr%2Cnl&caps=asr&key=yttt1&v=c2pZCfveMSo&kind=asr&lang=en&fmt=srv3
ep044,international,11/22/17,Oceanside in Manta,EC,https://www.youtube.com/api/timedtext?key=yttt1&v=23Xcnoi0D64&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=nl%2Cpt%2Cru%2Cfr%2Cit%2Ces%2Cen%2Cko%2Cja%2Cde&hl=en_GB&signature=7EE1FC20AD1E5B060F9E4B0580ACCE9FAB324983.32B64AF6399613072E9A92493CC842915D599898&expire=1521683345&caps=asr&kind=asr&lang=en&fmt=srv3
ep045,international,11/23/17,Puerto Penasco Three Run Homer,MX,https://www.youtube.com/api/timedtext?key=yttt1&asr_langs=en%2Cja%2Cnl%2Cde%2Cru%2Cko%2Cfr%2Cpt%2Ces%2Cit&caps=asr&signature=7CEAD122E010A8F47A6049B4E3652BD749968805.607531F36B036733D6AD5FD4F8CF93597C08E85B&hl=en_GB&expire=1521682987&v=9QIFSXyoKqA&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&kind=asr&lang=en&fmt=srv3
ep046,national,11/21/17,Jonesing for Jacksonville Beach,FL,https://www.youtube.com/api/timedtext?caps=asr&hl=en_GB&xorp=True&expire=1521683309&asr_langs=ja%2Cnl%2Cen%2Cpt%2Cde%2Cko%2Cit%2Cfr%2Ces%2Cru&signature=B95E4F948217ADCC106E313A431EDE8B7C09A642.9A91799FD8385E2EF864F3F84998007620DC958D&key=yttt1&v=pQFqFmiUU7I&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep047,international,11/9/17,"Life and Love, Parisian Style",FR,https://www.youtube.com/api/timedtext?xorp=True&v=m3ZnQsAhT8o&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&signature=3E3BCEA00993EA627B7C16A65EF978E0559DF954.EEFA2EBF5226F89E795A655E9F95B3726FF86E41&expire=1521683046&hl=en_GB&caps=asr&asr_langs=it%2Cru%2Ces%2Cpt%2Cfr%2Cko%2Cde%2Cja%2Cnl%2Cen&key=yttt1&kind=asr&lang=en&fmt=srv3
ep048,national,8/22/17,Gotta Get Away in Florida,FL,https://www.youtube.com/api/timedtext?caps=asr&v=lWRO9IWHA7I&key=yttt1&xorp=True&hl=en_GB&asr_langs=fr%2Cpt%2Ces%2Cnl%2Cit%2Cja%2Cen%2Cko%2Cru%2Cde&signature=929F118C227EB61A2249FC31D4E0829861DCB3CE.8AC1622119C76EFAA36D2078E8F15527E30204D1&expire=1521683085&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep049,international,10/18/17,Rekindling a Marriage in Belize,BZ,https://www.youtube.com/api/timedtext?key=yttt1&expire=1521683121&asr_langs=pt%2Ces%2Cru%2Cnl%2Cde%2Cko%2Cit%2Cen%2Cja%2Cfr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&signature=6C718971C9AB388A575ADE8DD225245FBD03AE59.EC60F3D93F5038E685EF8221EC090C156C892061&hl=en_GB&v=_H9aPn8klmI&caps=asr&kind=asr&lang=en&fmt=srv3
ep050,international,11/23/17,A New Couple's Leap of Faith,EN,https://www.youtube.com/api/timedtext?asr_langs=fr%2Cit%2Cru%2Ces%2Cpt%2Cen%2Cnl%2Cja%2Cko%2Cde&key=yttt1&signature=72A58B8F770EBE93DF022CA932280AF161FE8576.18CEAE964A2F273036A708A5ECF4F74E10FF8AB9&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&v=_LJ-DuOZDQ8&hl=en_GB&caps=asr&xorp=True&expire=1521683184&kind=asr&lang=en&fmt=srv3
ep051,national,8/17/17,Picky in Patchogue,NY,https://www.youtube.com/api/timedtext?key=yttt1&expire=1522311642&xorp=True&signature=24B32CCD0B86181449037AAB0901ACB5F133668E.C8977EE1C54C8F1A0AFCF44E772AA74A3856F20A&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&caps=asr&hl=en_GB&asr_langs=ko%2Cit%2Cpt%2Cen%2Cnl%2Cja%2Cfr%2Cru%2Ces%2Cde&v=EFEMaQCIDd0&kind=asr&lang=en&fmt=srv3
ep052,international,10/13/17,Dueling in Barcelona,ES,https://www.youtube.com/api/timedtext?v=GeBZtxV7Mmg&expire=1522311744&caps=asr&signature=B287F222D911B2F3A9D58564D211461D99916D1A.DBE2B3E7F02993FC9895A1F527BAA8213282E6BD&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=ko%2Cde%2Cen%2Cfr%2Cja%2Cru%2Ces%2Cpt%2Cit%2Cnl&hl=en_GB&xorp=True&key=yttt1&kind=asr&lang=en&fmt=srv3
