uniqueID,type,date,title,location,captions
ep001,national,11/28/17,Starting Over in Spokane,WA,https://www.youtube.com/api/timedtext?hl=en_GB&signature=C61293AF57D51C08FD7D6C1754D70E4F82F73013.DA4EA6D51EB96C7A9A165B4C9C501C7CF7746E53&asr_langs=pt%2Ces%2Cnl%2Cfr%2Cru%2Cja%2Cen%2Cko%2Cit%2Cde&key=yttt1&caps=asr&xorp=True&v=18KxusQn9xM&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521317604&kind=asr&lang=en&fmt=srv3
ep002,national,10/10/17,Crowns and Gowns in Florida,FL,https://www.youtube.com/api/timedtext?v=oXhhXKSBoi8&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&key=yttt1&asr_langs=es%2Cru%2Cit%2Cfr%2Cde%2Cko%2Cja%2Cnl%2Cen%2Cpt&expire=1521317876&signature=3BFB1CA68EB401434091BE2882561AA65BCDD0E9.BED0707CAFB58C358413126A9851958C1AF0C7CC&xorp=True&caps=asr&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep003,national,8/20/17,Sisters Step it Up in Atlanta,GA,https://www.youtube.com/api/timedtext?sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&hl=en_GB&asr_langs=en%2Cko%2Cja%2Cde%2Cru%2Cnl%2Cfr%2Cpt%2Ces%2Cit&signature=640A8BBC9E7748138727E81D1F50830CA770DDF0.3F58A93A95FB83F949332C49C85CBF245D724C65&xorp=True&v=fRseK9yXIeA&caps=asr&key=yttt1&expire=1521317925&kind=asr&lang=en&fmt=srv3
ep004,international,11/28/17,Setting Roots in Rome,IT,https://www.youtube.com/api/timedtext?key=yttt1&expire=1521318020&xorp=True&signature=49D72A5696F9122A27DA2DE367B0B3162CAF2C3E.AF7E2C43C0D403CC11DC86DC395DAA01947DC464&caps=asr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&asr_langs=it%2Cko%2Cja%2Cnl%2Cen%2Cpt%2Cfr%2Ces%2Cru%2Cde&hl=en_GB&v=ocHm21DIpA8&kind=asr&lang=en&fmt=srv3
ep005,national,10/13/17,Big Houses for a Big Family ,GA,https://www.youtube.com/api/timedtext?hl=en_GB&asr_langs=ja%2Cnl%2Cen%2Cru%2Cko%2Cde%2Cfr%2Cpt%2Cit%2Ces&key=yttt1&caps=asr&expire=1521318086&xorp=True&signature=82F77CDA15B1566954F6BA8272F445F7555CAE87.D0009B859EC408801BEBD231FC237B8F0F38A347&v=bRzz-LH7ZiI&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep006,national,11/16/17,From Dorm Room To Dream Home ,VA,https://www.youtube.com/api/timedtext?key=yttt1&xorp=True&v=MtOYG7qV5KY&caps=asr&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&expire=1521318153&signature=9DE7631A802E80A8DE343E3C22104C197D75254F.C495B7932099F3D9F0FD0B54BFB1457DCAF09E5D&hl=en_GB&asr_langs=it%2Cnl%2Ces%2Cfr%2Cde%2Cko%2Cpt%2Cen%2Cja%2Cru&kind=asr&lang=en&fmt=srv3
ep007,national,8/20/17,Seeking Unique in Seattle,WA,https://www.youtube.com/api/timedtext?caps=asr&asr_langs=nl%2Cja%2Ces%2Cpt%2Cfr%2Cit%2Cde%2Cko%2Cru%2Cen&key=yttt1&expire=1521318589&v=rlSeBvIfoa8&hl=en_GB&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&signature=A6746806DF35F98EF8D311F057834D0AB82EE3FF.05BDA95B9995C40AFFDF13ADA20EA533AA0A5D&kind=asr&lang=en&fmt=srv3
ep008,national,8/19/17,Wanting Wow in Colorado,CO,https://www.youtube.com/api/timedtext?signature=25D6551ECF20E3E6E4A8CE0ECD51A64ED94FCEBF.B77E991CEB789F00E7A4665C2FBF9E4C232A4F51&hl=en_GB&expire=1521318672&caps=asr&v=BLkMhitsPGk&asr_langs=ru%2Cko%2Cde%2Cpt%2Cja%2Cnl%2Cen%2Cit%2Ces%2Cfr&key=yttt1&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep009,national,10/18/17,Seeking a TN Mountain Home,TN,https://www.youtube.com/api/timedtext?asr_langs=ja%2Cen%2Cfr%2Cde%2Cko%2Cit%2Cnl%2Cpt%2Ces%2Cru&expire=1521318741&v=QL2xvUwxnng&xorp=True&key=yttt1&caps=asr&hl=en_GB&signature=1B083D502B28DA1BEB9A77A212A1C2E35DC3A1AA.7749CE35FD2162B574BFBD899C253658C74EEE43&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&kind=asr&lang=en&fmt=srv3
ep010,national,11/27/17,Modern Miami Search,FL,https://www.youtube.com/api/timedtext?key=yttt1&caps=asr&expire=1521499638&asr_langs=it%2Ces%2Cnl%2Cfr%2Cde%2Cpt%2Cko%2Cja%2Cen%2Cru&v=AUQsO1Rsz0s&signature=AAD24E010F9AA1AD6050E8399F9E578A357C3E71.7D68DDA1C0C15A858885AEFD5CD6AA84130E122A&xorp=True&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&hl=en_GB&kind=asr&lang=en&fmt=srv3
ep011,national,10/3/17,Moving Back to Missouri,MO,https://www.youtube.com/api/timedtext?expire=1521499707&v=4ayhgZFBsjA&asr_langs=nl%2Cpt%2Ces%2Cru%2Cen%2Cja%2Cfr%2Cde%2Cit%2Cko&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&xorp=True&signature=2810F51C2BED85CDD71368D3B0C718FEB33CC110.01531E2E39C7EECDE96DD414C816978947A6A818&key=yttt1&hl=en_GB&caps=asr&kind=asr&lang=en&fmt=srv3
ep012,national,11/13/17,Jerry and Emily Move From Florida to Chattanooga,TN,https://www.youtube.com/api/timedtext?asr_langs=fr%2Cit%2Cru%2Ces%2Cpt%2Cen%2Cnl%2Cja%2Cko%2Cde&key=yttt1&signature=70770D3517478396DCB3523AF0C563CDD171E6C4.E865CA1ED5F6CEF2414B33DF6472F1A272C82B3C&sparams=asr_langs%2Ccaps%2Cv%2Cxorp%2Cexpire&v=gUoqcweMK5Y&hl=en_GB&caps=asr&xorp=True&expire=1521510874&kind=asr&lang=en&fmt=srv3
